Designator,Mid X,Mid Y,Rotation,Layer
C1,151.0,-81.275,270.0,top
C10,171.131,-83.947,270.0,top
C11,171.5,-87.5,270.0,top
C12,172.5,-81.0,0.0,top
C2,153.0,-81.275,270.0,top
C3,156.718,-56.642,270.0,top
C4,165.0,-74.275,90.0,top
C5,167.0,-74.275,90.0,top
C6,165.0,-62.5,180.0,top
C8,161.0,-89.0,0.0,top
C9,174.0,-87.0,270.0,top
CR1,165.0,-60.5,180.0,top
D1,156.5,-82.0,180.0,top
D2,161.045,-57.295,0.0,top
F1,153.975,-85.5,0.0,top
U1,166.624,-83.82,90.0,top
